Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),Molecular Weight(pg/µL),Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected
A01,Plate_5,,,,mcrA,1.11086046695709,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,22.2172088623047,,,1.75188744068146,0.649448275566101,16953,16,16937,0,0,0,0,,,,,,,,,7974.7900390625,,,0.992288120563833,6.17377261014123,,,,,,,,,,,,10424.0511474609,6601.28553715665,6604.89340890589,,,,,1.41229283809662,0.855755746364594,,,,,,,,,,,,,No
A02,Plate_5,,,,mcrA,0.431890815496445,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,8.63781642913818,,,0.882954061031342,0.169138342142105,16347,6,16341,0,0,0,0,,,,,,,,,7974.7900390625,,,0.491080424370167,8.39361497987171,,,,,,,,,,,,10625.4912923177,6274.98277403452,6276.5795839146,,,,,0.634934306144714,0.277615606784821,,,,,,,,,,,,,No
A03,Plate_5,,,,mcrA,1.34284973144531,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,26.8569946289063,,,2.02419352531433,0.835005283355713,17532,20,17512,0,0,0,0,,,,,,,,,7478.99169921875,,,0.488910111887621,7.28886235516628,,,,,,,,,,,,10321.8780517578,5976.36608216141,5981.32331689743,,,,,1.66569793224335,1.06475400924683,,,,,,,,,,,,,No
A04,Plate_5,,,,mcrA,0.91211062669754,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,18.2422122955322,,,1.45849931240082,0.5230393409729,19355,15,19340,0,0,0,0,,,,,,,,,7478.99169921875,,,0.426414852334651,7.02718520022072,,,,,,,,,,,,10275.1394856771,5710.87110973149,5714.40838824553,,,,,1.16848015785217,0.696362972259521,,,,,,,,,,,,,No
A05,Plate_5,,,,mcrA,1.26556658744812,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,25.3113327026367,,,1.90766596794128,0.786959052085876,18602,20,18582,0,0,0,0,,,,,,,,,7403.361328125,,,1.50347094654284,8.30686196374851,,,,,,,,,,,,8513.68688964844,5826.20962377591,5829.09907358332,,,,,1.56982183456421,1.00348258018494,,,,,,,,,,,,,No
A06,Plate_5,,,,mcrA,1.11114203929901,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,22.2228412628174,,,1.73017644882202,0.661133766174316,18008,17,17991,0,0,0,0,,,,,,,,,7403.361328125,,,0.70732563636363,10.4522385304668,,,,,,,,,,,,9912.16256893382,5601.82087347656,5605.88994326903,,,,,1.40289270877838,0.863004922866821,,,,,,,,,,,,,No
A07,Plate_5,,,,mcrA,10.5674161911011,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,211.348327636719,,,13.3687038421631,8.19107246398926,7269,65,7204,0,0,0,0,,,,,,,,,7025.2099609375,,,0.378428393122686,1.45220286736276,,,,,,,,,,,,7363.83434495192,6310.26100784802,6319.68214788265,,,,,11.9337902069092,9.31045246124268,,,,,,,,,,,,,No
A08,Plate_5,,,,mcrA,4.73142528533936,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,94.6285095214844,,,5.90575408935547,3.72476100921631,18188,73,18115,0,0,0,0,,,,,,,,,7025.2099609375,,,1.51333622188866,8.51409540868206,,,,,,,,,,,,8008.28813275899,5523.58327889417,5533.55597816469,,,,,5.30574083328247,4.20029878616333,,,,,,,,,,,,,No
A09,Plate_5,,,,mcrA,2.4328076839447,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,48.6561546325684,,,3.33387494087219,1.71119868755341,16943,35,16908,0,0,0,0,,,,,,,,,6411.7646484375,,,0.854455590001246,4.50937988205697,,,,,,,,,,,,7914.99215959821,5580.23531722571,5585.05834086279,,,,,2.86665391921997,2.04523730278015,,,,,,,,,,,,,No
A10,Plate_5,,,,mcrA,3.53721714019775,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,70.7443389892578,,,4.60282278060913,2.6508047580719,16988,51,16937,0,0,0,0,,,,,,,,,6411.7646484375,,,0.795459762000162,5.12961204464659,,,,,,,,,,,,8147.24513633578,5557.52383217263,5565.2984840747,,,,,4.05475044250488,3.0658757686615,,,,,,,,,,,,,No
