"month","mean_flux_nmol","median_flux_nmol","sd_flux_nmol","pct_uptake","mean_moisture","month_name"
2,-0.655834141145381,-0.571139782995497,0.255014345830787,100,34.7980750749753,"Feb"
4,-1.32272700789182,-1.46031664605093,0.360596807309947,98.5959985959986,28.1826797804746,"Apr"
5,-1.33815081074339,-1.40286871755475,0.407588715381323,98.8416988416988,19.9543554396855,"May"
6,-0.689389237964409,-0.903270949635838,0.66468123599967,79.1856791856792,28.4691493259764,"Jun"
7,-0.765027172125938,-0.877873352088585,0.536898368321898,91.5759915759916,26.8276295063734,"Jul"
8,-1.57875430177322,-1.65173227675153,0.369535207372096,98.6310986310986,13.9236828121665,"Aug"
9,-1.86609978617917,-1.89920924461903,0.152026452933668,100,10.4464559662764,"Sep"
10,-1.19048337131761,-1.23162741320395,0.220574708020101,100,23.9226395479575,"Oct"
11,-1.8175206730271,-1.8175206730271,0,100,7.4,"Nov"
12,-0.939095419236265,-0.912272487409427,0.339698242644889,100,28.4552028857412,"Dec"
