dataset,column,type,unit,description
black_oak_experiment.csv,CH4_LM_flux,numeric,nmol m-2 s-1,Linear model CH4 flux
black_oak_experiment.csv,CH4_LM_r2,numeric,NA,Linear model R-squared
black_oak_experiment.csv,CH4_best_flux_nmol_m2_s,numeric,nmol m-2 s-1,Best-fit CH4 flux
black_oak_experiment.csv,CH4_model,character,NA,Selected model
black_oak_experiment.csv,CH4_quality,character,NA,Quality flag
black_oak_experiment.csv,CO2_best_flux_umol_m2_s,numeric,umol m-2 s-1,Best-fit CO2 flux
black_oak_experiment.csv,CO2_model,character,NA,Selected CO2 model
black_oak_experiment.csv,CO2_quality,character,NA,Quality flag
black_oak_experiment.csv,air_temp_C,numeric,C,Air temperature
black_oak_experiment.csv,chamber,character,NA,Chamber identifier
black_oak_experiment.csv,height_m,numeric,m,Measurement height on stem
black_oak_experiment.csv,notes,character,NA,Field notes
black_oak_experiment.csv,obs_length_s,numeric,s,Observation length
black_oak_experiment.csv,stem_diam_mm,numeric,mm,Stem diameter at measurement point
black_oak_experiment.csv,stem_temp_C,numeric,C,Stem temperature
black_oak_experiment.csv,unique_id,character,NA,Measurement identifier
black_oak_its_load.csv,ITS_copies_uL,numeric,copies uL-1,ITS copy concentration in the extract
black_oak_its_load.csv,material,character,NA,Tissue type (heartwood / sapwood)
black_oak_its_load.csv,sample_id,character,NA,Sample identifier
ddpcr_gene_abundances.csv,accepted_droplets,integer,NA,Number of accepted droplets in partition
ddpcr_gene_abundances.csv,analysis_type,character,NA,Analysis classification (loose/strict threshold)
ddpcr_gene_abundances.csv,concentration_copies_per_uL,numeric,copies/uL,Gene concentration
ddpcr_gene_abundances.csv,copies_per_20uL_well,numeric,copies/well,Copies per 20 uL reaction well
ddpcr_gene_abundances.csv,core_type,character,NA,Core type
ddpcr_gene_abundances.csv,extraction_plate,character,NA,DNA extraction plate identifier
ddpcr_gene_abundances.csv,material,character,NA,"Sample material (inner bark, outer bark, mineral soil, organic soil)"
ddpcr_gene_abundances.csv,negatives,integer,NA,Number of negative droplets
ddpcr_gene_abundances.csv,plate_id,character,NA,ddPCR plate identifier
ddpcr_gene_abundances.csv,positives,integer,NA,Number of positive droplets
ddpcr_gene_abundances.csv,sample_id,character,NA,Inner core sample identifier
ddpcr_gene_abundances.csv,sample_mass_mg,numeric,mg,Sample mass added to extraction tube
ddpcr_gene_abundances.csv,species,character,NA,Tree species
ddpcr_gene_abundances.csv,status,character,NA,QC status
ddpcr_gene_abundances.csv,target_gene,character,NA,"Target gene: mcrA, pmoA, mmoxY, 16S_arc, 16S_bact, mcrA_probe"
environmental_timeseries.csv,ET_ref,numeric,mm,Reference evapotranspiration
environmental_timeseries.csv,air_temp_C,numeric,C,Instantaneous air temperature
environmental_timeseries.csv,air_temp_avg_C,numeric,C,Average air temperature
environmental_timeseries.csv,air_temp_max_C,numeric,C,Maximum air temperature
environmental_timeseries.csv,air_temp_min_C,numeric,C,Minimum air temperature
environmental_timeseries.csv,day,integer,NA,Date/time components
environmental_timeseries.csv,dewpoint_C,numeric,C,Dew point temperature
environmental_timeseries.csv,hour,integer,NA,Date/time components
environmental_timeseries.csv,month,integer,NA,Date/time components
environmental_timeseries.csv,precip_mm,numeric,mm,Total precipitation
environmental_timeseries.csv,relative_humidity_pct,numeric,%,Relative humidity
environmental_timeseries.csv,soil_temp_avg_C,numeric,C,Average soil temperature
environmental_timeseries.csv,solar_rad_avg_kW,numeric,kW/m2,Average solar radiation
environmental_timeseries.csv,solar_rad_total_MJ,numeric,MJ/m2,Total solar radiation
environmental_timeseries.csv,timestamp,datetime,NA,Measurement timestamp
environmental_timeseries.csv,vwc,numeric,m3/m3,Instantaneous volumetric water content
environmental_timeseries.csv,vwc_avg,numeric,m3/m3,Average volumetric water content
environmental_timeseries.csv,wind_dir_deg,numeric,degrees,Wind direction
environmental_timeseries.csv,wind_speed_avg_ms,numeric,m/s,Average wind speed
environmental_timeseries.csv,wind_speed_max_ms,numeric,m/s,Maximum wind speed
environmental_timeseries.csv,year,integer,NA,Date/time components
flux_measurements_soil.csv,Date,date,YYYY-MM-DD,Measurement date
flux_measurements_soil.csv,SI,numeric,NA,Engineered seasonality index (model feature)
flux_measurements_soil.csv,air_temp_C,numeric,C,Air temperature at the time of measurement
flux_measurements_soil.csv,air_temp_C_mean,numeric,C,Monthly mean air temperature (model driver)
flux_measurements_soil.csv,moisture_x_airT,numeric,NA,Moisture x air-temperature interaction (model feature)
flux_measurements_soil.csv,moisture_x_soilT,numeric,NA,Moisture x soil-temperature interaction (model feature)
flux_measurements_soil.csv,month,integer,NA,Calendar month
flux_measurements_soil.csv,month_cos,numeric,NA,Cosine of month angle (model feature)
flux_measurements_soil.csv,month_sin,numeric,NA,Sine of month angle (model feature)
flux_measurements_soil.csv,site_id,character,NA,Soil collar identifier
