section_id,quadrat,sub_quadrat,tag,stem_tag,species_code,x_m,y_m,dbh_mm,status,pom,codes,notes,secondary,latitude,longitude
NA,905,a,150,NA,HAVI,102.5,188.9,7.9,LI,1.3,M,NA,TRUE,41.99072393,-72.12930171
NA,308,b,275,NA,PIST,160.4,76.7,1.8,LI,NA,M,NA,FALSE,41.98963979,-72.12884756
NA,303,b,358,NA,TSCA,69.8,72.1,15.5,LI,1.3,M,NA,FALSE,41.98974055,-72.12993679
NA,4,c,372,NA,TSCA,94.2,15.4,2.3,LI,1.3,M,NA,FALSE,41.98920028,-72.12976519
NA,5,b,388,NA,PIST,102.5,13.9,3.2,LI,1.3,M,NA,FALSE,41.98917403,-72.12966944
NA,309,a,440,NA,PIST,184,63.2,2.6,LI,NA,NA,NA,FALSE,41.98948337,-72.12859472
NA,309,b,552,NA,PIST,182.5,74.2,4.9,LI,1.3,M,NA,FALSE,41.98958313,-72.12858947
NA,206,d,579,NA,PIST,139.2,43.6,2.2,LI,1.3,M,NA,FALSE,41.98937975,-72.12916972
NA,409,a,889,NA,PIST,189.4,88.9,2.1,LI,2.2,M,NA,FALSE,41.98970255,-72.12847636
NA,509,a,975,NA,PIST,193.6,114.9,3.5,LI,NA,NA,NA,FALSE,41.98992626,-72.12837168
NA,509,a,977,NA,PIST,191.2,117,1.3,LI,NA,NA,NA,FALSE,41.9899486,-72.12839587
NA,509,a,979,NA,PIST,191.1,118.1,1.2,LI,NA,NA,NA,FALSE,41.9899585,-72.12839475
NA,509,a,980,NA,PIST,190.9,117.8,1,LI,NA,NA,NA,FALSE,41.98995616,-72.12839776
NA,509,a,981,NA,PIST,193,115.6,2.1,LI,NA,NA,NA,FALSE,41.98993339,-72.12837736
NA,509,a,983,NA,PIST,191,115.5,1.9,LI,NA,NA,NA,FALSE,41.98993563,-72.1284014
NA,509,a,984,NA,PIST,191,115.1,1.2,LI,NA,NA,NA,FALSE,41.98993209,-72.12840224
NA,509,a,985,NA,TSCA,190.5,115.7,3,LI,NA,NA,NA,FALSE,41.98993818,-72.12840694
NA,509,a,986,NA,PIST,190.4,117.3,1.9,LI,NA,"M,L",NA,FALSE,41.98995251,-72.12840477
NA,509,a,987,NA,PIST,190.5,118.1,1.8,LI,NA,NA,NA,FALSE,41.98995944,-72.1284019
NA,509,a,988,NA,TSCA,191.1,117.9,2.2,LI,NA,NA,NA,FALSE,41.98995673,-72.12839517
NA,509,a,989,NA,PIST,190.7,116.9,1.8,LI,NA,NA,NA,FALSE,41.9899485,-72.12840203
NA,509,a,991,NA,BELE,190.3,116.3,2.2,LI,NA,NA,NA,FALSE,41.98994381,-72.12840806
NA,509,a,992,NA,PIST,190.5,116.1,1.4,LI,NA,NA,NA,FALSE,41.98994173,-72.1284061
NA,509,a,993,NA,PIST,190.6,116.6,1.3,LI,NA,NA,NA,FALSE,41.989946,-72.12840386
NA,509,a,994,NA,PIST,190.6,116.2,1.2,LI,NA,NA,NA,FALSE,41.98994246,-72.1284047
NA,509,a,995,NA,PIST,196.5,110.6,1.3,LI,NA,NA,NA,FALSE,41.98988364,-72.12834616
NA,402,b,1002,NA,TSCA,51,83.8,8.4,LI,1.3,M,NA,FALSE,41.98987354,-72.13013622
NA,401,a,1003,NA,TSCA,25,85.6,16,LI,1.3,M,NA,FALSE,41.98993008,-72.13044225
NA,400,a,1004,NA,ACSA,5.7,84.9,16.8,LI,1.3,M,NA,TRUE,41.98995402,-72.1306737
NA,402,a,1006,NA,TSCA,45.6,87,32,LI,1.3,M,NA,FALSE,41.98991031,-72.13019384
NA,403,a,1006,NA,TSCA,68.9,88.4,32.3,LI,1.3,M,NA,FALSE,41.98988632,-72.12991326
NA,401,b,1007,NA,TSCA,37.9,83.8,23,LI,1.3,M,NA,FALSE,41.98989399,-72.13029232
NA,401,a,1008,NA,TSCA,21.6,83.2,25,LI,1.3,M,NA,FALSE,41.98991414,-72.13048781
NA,400,a,1009,NA,QURU,8,85.1,48.8,LI,1.3,M,NA,FALSE,41.9899522,-72.13064587
NA,400,a,1010,NA,PIST,4.3,80.5,79.9,LI,1.3,M,NA,FALSE,41.98991724,-72.13069962
NA,401,b,1011,NA,PIST,34.2,87.1,35,LI,1.3,M,NA,FALSE,41.989929,-72.13032947
NA,403,b,1012,NA,TSCA,72,83.1,37,LI,1.3,M,NA,FALSE,41.98983454,-72.12988746
NA,400,b,1013,NA,QURU,17.9,87.7,36.9,LI,1.3,M,NA,FALSE,41.98995977,-72.13052244
NA,403,a,1014,NA,QURU,61.8,88.1,36.4,LI,1.3,M,NA,FALSE,41.98989475,-72.1299985
NA,401,a,1015,NA,TSCA,22.6,85.7,18.2,LI,1.3,M,NA,FALSE,41.98993472,-72.13047064
NA,403,b,1016,NA,QURU,73,81.4,40.5,LI,1.3,M,NA,FALSE,41.98981792,-72.12987912
NA,402,b,1017,NA,TSCA,52.1,86.1,27.7,LI,1.3,M,NA,FALSE,41.98989219,-72.13011828
NA,400,a,1018,NA,NA,7.2,89.5,41.5,LI,1.3,M,NA,FALSE,41.98999242,-72.13064616
NA,401,b,1019,NA,PIST,33.4,88,67.7,LI,1.3,M,NA,FALSE,41.98993822,-72.13033712
NA,400,b,1020,NA,TSCA,14.8,89.2,35.3,LI,1.3,M,NA,FALSE,41.98997789,-72.13055623
NA,401,b,1021,NA,TSCA,39.8,88.4,36,LI,1.3,M,NA,FALSE,41.98993177,-72.13026001
NA,403,b,1022,NA,ACSA,74.9,84.4,41.7,LI,1.3,M,NA,FALSE,41.98984152,-72.12985017
NA,105,a,1023,NA,QURU,103.1,20.3,35.1,LI,1.3,M,NA,FALSE,41.98922977,-72.12964884
NA,402,b,1024,NA,TSCA,58,84.5,5.3,LI,1.3,M,NA,FALSE,41.9898688,-72.13005134
NA,401,a,1025,NA,TSCA,28.6,84,25.8,LI,1.3,M,NA,FALSE,41.98991029,-72.13040272
NA,402,b,1026,NA,TSCA,58.5,89.3,25.3,LI,1.3,M,NA,FALSE,41.98991053,-72.1300353
NA,402,b,1028,NA,TSCA,53.9,88.2,38.2,LI,1.3,M,NA,FALSE,41.98990797,-72.13009242
NA,402,b,1028,NA,TSCA,56.5,86.8,21.9,LI,1.3,M,NA,FALSE,41.98989152,-72.13006438
NA,402,a,1029,NA,BELE,45.2,81.9,27,LI,1.3,M,NA,FALSE,41.98986577,-72.13020933
NA,401,a,1030,NA,TSCA,25.2,88.8,12.4,LI,1.3,M,NA,FALSE,41.98995811,-72.13043314
NA,401,b,1031,NA,TSCA,36.9,82.3,20.9,LI,1.3,M,NA,FALSE,41.98988227,-72.13030739
NA,401,b,1032,NA,TSCA,37.2,88.4,42.5,LI,1.3,M,NA,FALSE,41.98993583,-72.130291
NA,402,b,1033,NA,ACSA,57,82.1,34.8,LI,1.3,M,NA,FALSE,41.98984911,-72.1300683
NA,402,b,1034,NA,TSCA,43,97.1,45.9,LI,1.3,M,NA,FALSE,41.99000382,-72.1302036
NA,403,a,1035,NA,TSCA,60.4,87.9,45.8,LI,1.3,M,NA,FALSE,41.98989517,-72.1300156
NA,400,b,1036,NA,TSCA,19.8,83.7,76.8,LI,1.3,M,NA,FALSE,41.98992137,-72.13050821
NA,401,a,1038,NA,PIST,26.3,85.1,57.5,LI,1.3,M,NA,FALSE,41.98992362,-72.13042781
NA,400,c,1039,NA,TSCA,13,98.2,44.3,LI,1.3,M,NA,FALSE,41.99006041,-72.13055877
NA,400,c,1040,NA,TSCA,11.8,100,40.2,LI,1.3,M,NA,FALSE,41.99007823,-72.13056928
NA,400,c,1041,NA,TSCA,18.2,95.3,35.2,LI,1.3,M,NA,FALSE,41.99002661,-72.1305029
NA,400,c,1042,NA,BEAL,14.7,92.7,17.5,LI,NA,M,NA,FALSE,41.99000905,-72.13055007
NA,400,c,1043,NA,TSCA,15.8,91,26.6,LI,1.3,M,NA,FALSE,41.98999227,-72.13054053
NA,400,c,1044,NA,ACRU,15.3,98.5,31.2,LI,1.3,M,NA,FALSE,41.99005948,-72.13053073
NA,400,c,1045,NA,TSCA,17,99,25.6,LI,1.3,M,NA,FALSE,41.99006125,-72.13050942
NA,400,c,1046,NA,TSCA,17.1,88.8,35.2,LI,1.3,M,NA,FALSE,41.98997076,-72.13052966
NA,400,c,1047,NA,TSCA,11,87.8,10.8,LI,1.3,M,NA,FALSE,41.98997143,-72.13060445
NA,400,c,1048,NA,TSCA,13.1,86.6,10.5,LI,1.3,M,NA,FALSE,41.98995752,-72.13058195
NA,400,c,1049,NA,TSCA,15.1,86.5,19.9,LI,1.3,M,NA,FALSE,41.98995351,-72.13055833
NA,400,c,1050,NA,TSCA,10.3,84.6,45.5,LI,1.3,M,NA,FALSE,41.98994418,-72.13061952
NA,400,c,1051,NA,TSCA,16.1,84.2,13.2,LI,1.3,M,NA,FALSE,41.98993158,-72.13055124
NA,400,c,1052,NA,TSCA,12.2,82.8,15.5,LI,1.3,M,NA,FALSE,41.98992527,-72.13060066
NA,400,c,1053,NA,TSCA,13.2,82.8,16.8,LI,1.3,M,NA,FALSE,41.98992371,-72.13058874
NA,400,c,1054,NA,TSCA,13.4,82.5,16.8,LI,1.3,M,NA,FALSE,41.98992074,-72.13058699
NA,400,c,1055,NA,TSCA,14.4,82.7,26.6,LI,1.3,M,NA,FALSE,41.98992095,-72.13057465
NA,401,c,1055,NA,TSCA,39.9,97.4,14.1,LI,1.3,M,NA,FALSE,41.99001132,-72.13023991
NA,400,c,1056,NA,TSCA,11.2,81.6,24.8,LI,1.3,M,NA,FALSE,41.98991621,-72.13061509
NA,400,c,1057,NA,PIST,16.6,82.6,53.2,LI,1.3,M,NA,FALSE,41.98991663,-72.13054865
NA,401,NA,1058,NA,TSCA,30.1,92.5,17.3,LI,1.3,M,NA,FALSE,41.98998323,-72.13036698
NA,401,c,1059,NA,TSCA,30.9,95.4,20.8,LI,1.3,M,NA,FALSE,41.99000766,-72.13035136
NA,703,a,1059,NA,TSCA,65.8,143.4,28.9,LI,1.3,M,NA,FALSE,41.99037827,-72.12983464
NA,401,c,1060,NA,QURU,33.7,99.5,40.8,LI,1.3,M,NA,FALSE,41.9900396,-72.13030938
NA,401,c,1061,NA,TSCA,34.9,99.1,23.9,LI,1.3,M,NA,FALSE,41.99003418,-72.13029592
NA,401,c,1062,NA,BEAL,36,99.9,25.8,LI,1.3,M,NA,FALSE,41.99003955,-72.13028113
NA,401,c,1063,NA,TSCA,36.4,97.5,11.2,LI,1.3,M,NA,FALSE,41.99001767,-72.13028141
NA,401,c,1064,NA,BELE,37.2,97.4,28.2,LI,1.3,M,NA,FALSE,41.99001554,-72.13027208
NA,401,c,1066,NA,ACSA,39.9,94.7,20.7,LI,NA,NA,NA,FALSE,41.98998741,-72.13024559
NA,401,c,1067,NA,TSCA,37.4,92.8,22.3,LI,1.3,M,NA,FALSE,41.98997448,-72.13027937
NA,401,d,1068,NA,TSCA,31.5,89.8,35.1,LI,1.3,M,NA,FALSE,41.98995713,-72.13035597
NA,401,d,1069,NA,ACRU,32.3,88.9,26.8,LI,1.1,A,NA,FALSE,41.98994791,-72.13034833
NA,401,d,1070,NA,TSCA,35.1,87.8,12.9,LI,1.3,M,NA,FALSE,41.98993379,-72.13031728
NA,401,d,1071,NA,PIST,37.9,83.8,48.9,LI,1.3,M,NA,FALSE,41.98989399,-72.13029232
NA,401,d,1072,NA,TSCA,40,82.4,27.5,LI,1.3,M,NA,FALSE,41.98987831,-72.13027024
NA,401,d,1073,NA,NA,39,80.8,42,LI,1.3,M,NA,TRUE,41.98986571,-72.13028552
NA,401,d,1075,NA,PIST,32.9,84.5,64.9,LI,1.3,M,NA,FALSE,41.989908,-72.13035043
NA,401,d,1076,NA,TSCA,31.1,84.9,18.2,LI,1.3,M,NA,FALSE,41.98991436,-72.13037104
NA,402,c,1077,NA,TSCA,50.3,94.4,21.7,LI,NA,NA,NA,FALSE,41.98996851,-72.13012229
NA,402,c,1078,NA,BELE,53.4,98,38.4,LI,NA,NA,NA,FALSE,41.98999555,-72.13007779
NA,402,c,1079,NA,TSCA,53.5,98.4,31.1,LI,NA,NA,NA,FALSE,41.98999894,-72.13007576
NA,402,c,1080,NA,ACRU,55.8,98.2,30.9,LI,1,NA,NA,FALSE,41.98999357,-72.13004877
NA,402,c,1081,NA,QURU,55.6,93.2,44.8,LI,NA,NA,NA,FALSE,41.9899496,-72.13006166
NA,402,c,1082,NA,TSCA,53,92.3,46.1,LI,NA,NA,NA,FALSE,41.98994569,-72.13009453
NA,402,d,1083,NA,TSCA,48.6,92.1,34.8,LI,NA,NA,NA,FALSE,41.98995079,-72.13014738
NA,402,d,1084,NA,TSCA,50.9,86.1,49.2,LI,NA,NA,NA,FALSE,41.98989406,-72.13013258
NA,402,d,1085,NA,PIST,51.5,80.2,40.7,LI,NA,NA,NA,FALSE,41.98984087,-72.13013783
NA,402,d,1086,NA,TSCA,54.8,82.1,16.2,LI,NA,NA,NA,FALSE,41.98985254,-72.13009451
NA,402,d,1087,NA,TSCA,57.5,83.5,21,LI,NA,NA,NA,FALSE,41.98986073,-72.1300594
NA,402,d,1088,NA,BELE,59.3,84.2,29.4,LI,NA,NA,NA,FALSE,41.98986412,-72.13003648
NA,402,d,1089,NA,TSCA,58.7,85,19.5,LI,NA,NA,NA,FALSE,41.98987214,-72.13004195
NA,402,d,1090,NA,TSCA,59.6,88.3,33.5,LI,NA,NA,NA,FALSE,41.98989996,-72.13002429
NA,403,c,1091,NA,TSCA,72.7,88.3,49.5,LI,1.3,M,NA,FALSE,41.9898795,-72.12986819
NA,403,c,1092,NA,TSCA,79.8,99.8,18.7,LI,1.3,M,NA,FALSE,41.98997026,-72.12975943
NA,403,c,1093,NA,TSCA,79.5,96.1,33.7,LI,1.3,M,NA,FALSE,41.98993796,-72.12977078
NA,403,c,1094,NA,TSCA,79.5,92,10.9,LI,1.3,M,NA,TRUE,41.98990165,-72.12977939
NA,403,c,1095,NA,TSCA,78,92.5,15.1,LI,1.3,M,NA,FALSE,41.98990842,-72.12979622
NA,403,c,1096,NA,TSCA,75.3,96.9,41.6,LI,1.6,M,NA,FALSE,41.98995161,-72.12981914
NA,403,c,1097,NA,TSCA,74.1,96.7,62.1,LI,1.3,M,NA,FALSE,41.98995171,-72.12983386
NA,403,c,1098,NA,TSCA,73.9,94,44.8,LI,1.3,M,NA,FALSE,41.98992811,-72.12984192
NA,403,c,1099,NA,TSCA,75.4,91,15,LI,1.3,M,NA,FALSE,41.9898992,-72.12983035
NA,403,c,1100,NA,TSCA,73.5,90.7,14.6,LI,1.3,M,NA,FALSE,41.98989951,-72.12985362
NA,400,a,1101,NA,TSCA,3.9,87,14.8,LI,1.3,M,NA,FALSE,41.98997543,-72.13069073
NA,403,b,1102,NA,ACSA,79.8,89.8,31.7,LI,1.3,M,NA,FALSE,41.9898817,-72.12978044
NA,4,c,1103,NA,ACRU,90.1,15.7,9,LI,1.3,M,NA,FALSE,41.98920934,-72.12981341
NA,203,a,1104,NA,BELE,61.7,47.7,26.5,LI,1.3,M,NA,FALSE,41.9895371,-72.13008458
NA,401,b,1105,NA,TSCA,35.7,81.4,21,LI,1.3,M,NA,FALSE,41.98987617,-72.13032358
NA,401,a,1107,NA,TSCA,21,89.6,38.9,LI,1.3,M,NA,FALSE,41.98997175,-72.13048151
NA,203,d,1108,NA,QURU,73.1,43.1,33.4,LI,NA,M,NA,FALSE,41.98947856,-72.1299584
1,NA,NA,1109,NA,KALA,NA,NA,2,LI,1.3,NA,NA,FALSE,#DIV/0!,#DIV/0!
NA,203,a,1110,NA,TSCA,69.2,48.5,39.1,LI,1.3,M,NA,FALSE,41.98953247,-72.12999353
NA,403,c,1113,NA,TSCA,78.5,87.8,46.1,LI,1.3,M,NA,FALSE,41.98986601,-72.12980013
NA,203,a,1114,NA,TSCA,65.4,43.1,13,LI,1.3,M,NA,FALSE,41.98949058,-72.13005015
NA,203,a,1115,NA,TSCA,63.2,44.5,18.2,LI,1.3,M,NA,FALSE,41.98950642,-72.13007343
NA,203,a,1116,NA,ACRU,66,47.2,24.9,LI,1.3,M,NA,FALSE,41.98952596,-72.13003439
NA,203,a,1117,NA,TSCA,64.2,47.6,15.3,LI,1.3,M,NA,FALSE,41.98953231,-72.130055
NA,203,a,1118,NA,TSCA,67.2,49.1,16.5,LI,1.3,M,NA,FALSE,41.98954091,-72.1300161
NA,203,a,1119,NA,TSCA,68.9,45.5,20.1,LI,1.3,M,NA,FALSE,41.98950637,-72.13000341
NA,203,a,1120,NA,TSCA,67.8,45.9,24.8,LI,1.3,M,NA,FALSE,41.98951163,-72.13001567
NA,203,a,1121,NA,TSCA,65.6,42,39.6,LI,1.3,M,NA,FALSE,41.98948053,-72.13005008
NA,203,a,1122,NA,TSCA,63.9,44,19.4,LI,1.3,M,NA,FALSE,41.9895009,-72.13006614
NA,203,a,1123,NA,TSCA,64.7,48.7,21,LI,1.3,M,NA,FALSE,41.98954127,-72.13004673
NA,203,a,1124,NA,BELE,62.9,49.6,25.7,LI,1.3,M,NA,FALSE,41.98955206,-72.13006629
NA,402,a,1125,NA,BELE,49.3,86.5,27.5,LI,1.3,M,NA,FALSE,41.9899001,-72.13015081
NA,403,b,1126,NA,TSCA,77.1,84.4,16.5,LI,1.3,M,NA,FALSE,41.98983809,-72.12982396
NA,404,b,1126,NA,TSCA,96.4,84.6,36.4,LI,1.3,M,NA,FALSE,41.98980972,-72.12959356
NA,203,c,1127,NA,TSCA,70.7,58.1,25.8,LI,NA,M,NA,FALSE,41.98961515,-72.12995548
NA,203,c,1128,NA,TSCA,72.2,57.3,17.8,LI,NA,M,NA,TRUE,41.98960573,-72.12993929
NA,203,c,1130,NA,ACRU,73,55,23.4,LI,NA,M,NA,FALSE,41.98958411,-72.12993459
NA,203,c,1132,NA,TSCA,73.4,59.9,35.6,LI,NA,M,NA,FALSE,41.98962688,-72.12991953
NA,203,c,1133,NA,ACRU,78.9,59,31,LI,NA,M,NA,FALSE,41.98961032,-72.12985588
NA,203,c,1134,NA,QURU,75.1,52.1,44.7,LI,NA,M,NA,FALSE,41.98955514,-72.12991566
NA,4,a,1136,NA,QURU,88.5,8.2,57.2,LI,1.3,M,NA,FALSE,41.98914541,-72.12984823
NA,4,b,1137,NA,QURU,86,15.9,48.6,LI,1.3,M,NA,FALSE,41.98921751,-72.12986184
NA,4,b,1138,NA,ACSA,81,13.6,12,LI,1.3,M,NA,FALSE,41.98920495,-72.12992625
NA,4,c,1139,NA,ACRU,93.5,15.9,46.5,LI,1.3,M,NA,FALSE,41.9892058,-72.12977248
NA,4,b,1140,NA,ACSA,82.4,12.2,24.8,LI,1.3,M,NA,FALSE,41.98919037,-72.12991251
NA,4,c,1141,NA,PIST,91.8,12.5,21.9,LI,1.3,M,NA,FALSE,41.98917834,-72.12979988
NA,4,a,1142,NA,TSCA,86.3,5.6,58.4,LI,1.3,M,NA,TRUE,41.98912582,-72.12987991
NA,4,c,1143,NA,TSCA,97.3,14.6,7.6,LI,NA,M,NA,FALSE,41.98918835,-72.12972993
NA,4,c,1144,NA,BELE,97.4,14.7,6.1,LI,1.3,M,NA,FALSE,41.98918908,-72.12972853
NA,4,c,1145,NA,BELE,98.5,18.1,4.6,LI,1.3,M,NA,FALSE,41.98921747,-72.12970827
NA,4,c,1146,NA,PIST,97.2,18.4,8.2,LI,1.3,M,NA,FALSE,41.98922216,-72.12972313
NA,4,c,1147,NA,PIST,97.7,17.5,4.7,LI,1.3,M,NA,FALSE,41.98921341,-72.12971907
NA,4,d,1148,NA,ACRU,92.1,7.8,8.8,LI,1.3,M,NA,FALSE,41.98913625,-72.12980618
NA,4,c,1149,NA,PIST,97.7,17.4,7.8,LI,1.3,M,NA,FALSE,41.98921252,-72.12971928
NA,4,d,1150,NA,QURU,93.5,7.3,32.2,LI,1.3,M,NA,FALSE,41.98912963,-72.12979055
NA,4,d,1151,NA,QURU,90.4,4.6,35.6,LI,1.3,M,NA,FALSE,41.98911056,-72.12983316
NA,4,d,1152,NA,TSCA,96,3.6,8.4,LI,1.3,M,NA,FALSE,41.98909296,-72.12976853
NA,4,a,1153,NA,ACRU,89.9,0.1,23,LI,1.3,M,NA,FALSE,41.98907149,-72.12984857
NA,4,d,1153,NA,PIST,91.5,3.4,16.5,LI,1.3,M,NA,FALSE,41.98909822,-72.12982257
NA,4,d,1154,NA,PIST,93.4,1.1,8.7,LI,1.3,M,NA,FALSE,41.98907488,-72.12980477
NA,5,b,1156,NA,QURU,103,13.4,55.7,LI,1.3,M,NA,FALSE,41.98916882,-72.12966453
NA,4,d,1157,NA,PIST,92.6,2.3,5.3,LI,1.3,M,NA,FALSE,41.98908676,-72.12981178
NA,4,d,1158,NA,TSCA,92.7,3.4,7.6,LI,1.3,M,NA,FALSE,41.98909634,-72.12980827
NA,4,d,1159,NA,BELE,96.1,4.3,7.7,LI,1.3,M,NA,FALSE,41.989099,-72.12976587
NA,4,d,1160,NA,QURU,94.4,6.1,57.6,LI,1.3,M,NA,FALSE,41.9891176,-72.12978234
NA,5,b,1161,NA,PIST,102.4,13.9,5.2,LI,1.3,M,NA,FALSE,41.98917419,-72.12967063
NA,5,b,1162,NA,PIST,100.1,16.7,5.2,LI,NA,M,NA,FALSE,41.98920258,-72.12969215
NA,5,d,1163,NA,QURU,119.2,8.3,59.8,LI,1.3,M,NA,FALSE,41.98909835,-72.12948221
NA,5,d,1164,NA,BELE,119.9,1.3,8,LI,1.3,M,NA,FALSE,41.98903526,-72.12948858
NA,6,a,1165,NA,ACSA,125.6,2.9,7,LI,NA,NA,NA,FALSE,41.98904053,-72.1294173
NA,6,a,1166,NA,ACSA,122.9,0.2,8.5,LI,NA,NA,NA,FALSE,41.98902083,-72.12945515
NA,5,d,1167,NA,ACRU,115.2,0.4,21.9,LI,1,"M,A",NA,FALSE,41.98903463,-72.12954648
NA,500,b,1168,NA,QUVE,9.9,119,35,LI,1.3,M,NA,FALSE,41.99024947,-72.130552
NA,6,a,1169,NA,ACSA,124.8,5.2,20.8,LI,NA,NA,NA,FALSE,41.98906215,-72.129422
NA,6,b,1170,NA,ACSA,121.2,10.3,12.6,NA,NA,NA,NA,FALSE,41.98911294,-72.12945418
NA,6,c,1171,NA,PIST,137.6,11.1,8.1,NA,NA,NA,NA,FALSE,41.98909441,-72.12925708
NA,6,c,1172,NA,PIST,139.5,10.8,7.9,NA,NA,NA,NA,FALSE,41.98908879,-72.12923507
NA,6,a,1173,NA,ACSA,121,8.7,22,LI,NA,NA,NA,FALSE,41.98909908,-72.12945992
NA,6,c,1174,NA,BELE,137.8,13.2,6.2,NA,NA,NA,NA,FALSE,41.9891127,-72.12925029
NA,500,a,1175,NA,ACRU,4.6,103,24,LI,1.5,M,NA,FALSE,41.99011604,-72.13064877
NA,6,c,1176,NA,BELE,135.5,11.3,8.1,NA,NA,NA,NA,FALSE,41.98909946,-72.12928168
NA,501,a,1177,NA,TSCA,23.9,119.2,49.3,LI,1.3,M,NA,FALSE,41.99022938,-72.13038476
NA,501,a,1178,NA,PIST,22.5,103.1,69.5,LI,1.3,M,NA,FALSE,41.99008898,-72.13043527
NA,5,d,1179,NA,ACRU,119.9,5.6,24.5,LI,1.3,M,NA,FALSE,41.98907335,-72.12947955
NA,6,a,1180,NA,ACRU,129.9,2.6,16.2,LI,NA,NA,NA,FALSE,41.98903116,-72.12936669
NA,6,a,1181,NA,BELE,126.1,8.2,8.4,LI,NA,NA,NA,FALSE,41.98908669,-72.12940021
NA,501,a,1182,NA,TSCA,27.7,104.2,31.7,LI,1.3,M,NA,FALSE,41.9900906,-72.130371
NA,6,c,1183,NA,PIST,139.8,11.5,9.1,NA,NA,NA,NA,FALSE,41.98909452,-72.12923003
NA,5,d,1184,NA,PIST,118.2,6.3,4,LI,1.3,M,NA,FALSE,41.9890822,-72.12949833
NA,5,d,1185,NA,ACRU,118.5,6.7,13.2,LI,1.3,M,NA,FALSE,41.98908527,-72.12949392
NA,5,b,1186,NA,PIST,102.5,14.4,4.5,NA,NA,M,NA,FALSE,41.98917846,-72.12966839
NA,402,b,1187,NA,TSCA,56.3,82.2,6.6,LI,1.3,M,NA,FALSE,41.98985109,-72.13007643
NA,402,a,1188,NA,TSCA,41.3,86,11.6,LI,1.3,M,NA,FALSE,41.98990817,-72.13024718
NA,403,a,1189,NA,ACSA,62.1,85.2,18.5,LI,1.3,M,NA,FALSE,41.9898686,-72.13000102
NA,403,a,1190,NA,TSCA,64.4,85,33.9,LI,1.3,M,NA,FALSE,41.98986324,-72.12997403
NA,402,b,1191,NA,TSCA,51.7,85.3,6.8,LI,1.3,M,NA,FALSE,41.98988573,-72.13012473
NA,6,c,1193,NA,BELE,139.9,16.9,6.7,NA,NA,NA,NA,TRUE,41.98914219,-72.12921749
NA,6,c,1194,NA,BELE,139,12.1,12.1,NA,NA,NA,NA,FALSE,41.98910108,-72.1292383
NA,403,c,1195,NA,TSCA,75.1,86.5,14.1,LI,1.3,M,NA,FALSE,41.98985981,-72.12984338
NA,403,c,1196,NA,BELE,78.3,85.5,28.5,LI,1.3,M,NA,FALSE,41.98984596,-72.12980735
NA,1,d,1197,NA,TSCA,3.5,3.5,5.9,LI,NA,NA,NA,FALSE,41.98923653,-72.13087094
NA,403,c,1198,NA,TSCA,76.9,88,13.3,LI,1.3,M,NA,FALSE,41.98987028,-72.12981878
NA,500,a,1199,NA,TSCA,5.1,109.6,35.5,LI,1.3,M,NA,FALSE,41.99017372,-72.13062895
NA,0,a,1200,NA,ACPE,100.2,116.5,14.5,LI,1.3,NA,NA,FALSE,41.99008631,-72.12948125
NA,403,c,1201,NA,TSCA,77.8,82.3,30.4,LI,1.3,M,NA,FALSE,41.9898184,-72.12982003
NA,403,c,1202,NA,TSCA,75.7,82.6,33.1,LI,1.3,M,NA,FALSE,41.98982433,-72.12984442
NA,403,c,1203,NA,TSCA,71,80.2,24.7,LI,1.3,M,NA,TRUE,41.98981042,-72.12990547
NA,403,c,1205,NA,QURU,74,83.5,36.8,LI,1.3,M,NA,FALSE,41.98983496,-72.12986279
NA,500,c,1206,NA,TSCA,19.8,110.2,37.1,LI,1.3,M,NA,FALSE,41.99015607,-72.13045253
NA,500,c,1207,NA,TSCA,13.5,109.7,27.8,LI,1.3,M,NA,FALSE,41.99016148,-72.13052865
NA,500,c,1208,NA,QUVE,14.7,108.1,32.6,LI,1.3,"L,M",NA,FALSE,41.99014544,-72.13051771
NA,500,c,1209,NA,ACRU,11.3,109.6,34.4,LI,1.3,M,NA,FALSE,41.99016403,-72.13055507
NA,500,c,1210,NA,TSCA,17.1,105.7,46.4,LI,1.3,M,NA,FALSE,41.99012044,-72.13049415
NA,500,c,1211,NA,ACRU,17.1,102.7,48.6,LI,1.3,M,NA,FALSE,41.99009387,-72.13050046
NA,500,c,1212,NA,PIST,19.9,105.4,52.9,LI,1.3,M,NA,FALSE,41.99011341,-72.13046142
NA,500,c,1213,NA,TSCA,19.9,104.2,32.2,LI,1.3,M,NA,FALSE,41.99010278,-72.13046394
NA,501,NA,1214,NA,TSCA,33.2,110.2,21.5,LI,1.3,M,NA,FALSE,41.99013515,-72.13029285
NA,501,c,1215,NA,TSCA,36.9,113.7,21.1,LI,1.3,M,NA,FALSE,41.99016037,-72.13024141
NA,403,b,1216,NA,TSCA,78.5,89.8,17.8,LI,1.3,M,NA,FALSE,41.98988373,-72.12979593
NA,105,b,1217,NA,TSCA,103.2,30.2,25,LI,1.3,M,NA,FALSE,41.9893173,-72.12962685
NA,403,b,1218,NA,ACSA,78.6,88.7,31.8,LI,1.3,M,NA,FALSE,41.98987383,-72.12979705
NA,404,b,1219,NA,TSCA,97.7,87.7,30,LI,1.3,M,NA,FALSE,41.98983514,-72.12957156
