pathway,p_value_all,t_stat_all,FDR_all,description,mean_counts_per_million,p_value_no_mcra,t_stat_no_mcra,FDR_no_mcra,mean_percent_from_mcra
PWY-7286,3.47497983547949e-59,23.6114949763789,1.0582076433044698e-56,7-(3-amino-3-carboxypropyl)-wyosine biosynthesis,145.432571523603,6.13261624317147e-51,20.5741144541208,2.49597481097079e-48,0.474375637266324
PWY-6350,6.90214642488534e-59,23.4983265834732,1.0582076433044698e-56,archaetidylinositol biosynthesis,130.052487063906,1.0429313979720202e-15,8.66169133648494,3.85884617249647e-14,0.918627300721535
PWY-6349,7.80005633885362e-59,23.4781869511896,1.0582076433044698e-56,CDP-archaeol biosynthesis,131.925976468048,2.32078257813004e-16,8.89583867628704,9.883613394231552e-15,0.902076398198301
PWY-6174,2.1970101897499997e-58,23.3080010607027,2.2354578680706297e-56,mevalonate pathway II (archaea),167.550159637829,7.08785270568516e-38,16.0827032376447,7.211890128034649e-36,0.466230139315019
PWY-6141,3.16870867632303e-55,22.1259305142374,2.57932886252695e-53,archaetidylserine and archaetidylethanolamine biosynthesis,110.27567763368,5.51053410297715e-33,14.4598192422894,3.7379789665194997e-31,0.948406533908323
PWY-6654,1.34888957657677e-50,20.4519345531646,9.14996762777908e-49,phosphopantothenate biosynthesis III,169.790605202863,1.2238546330083098e-42,17.6845247409784,2.49054417817191e-40,0.309197587286643
PWY-6167,1.3368249087608099e-49,20.0914046065891,7.77268196950929e-48,flavin biosynthesis II (archaea),205.910997544076,1.43318162278084e-36,15.642702805282,1.1666098409436e-34,0.381050405429449
PWY-6148,1.40694365127942e-44,18.3434084198445,7.157825825884028e-43,tetrahydromethanopterin biosynthesis,104.963815014388,3.93881000276394e-42,17.5062670031817,5.34365223708308e-40,0.329678005139151
P241-PWY,2.8426480664644797e-44,18.2405651009874,1.2855086256122699e-42,coenzyme B biosynthesis,135.18130439043,5.61999495093098e-12,7.27036041250123,1.7594907269453101e-10,0.883464337331699
METHANOGENESIS-PWY,5.3060183383077285e-43,17.8021344362212,2.15954946369125e-41,methanogenesis from H2 and CO2,146.686703222953,0.00946591177525564,2.59993951823509,0.02656983512089,0.922175386911527
P261-PWY,8.43966446671968e-42,17.4000062336452,3.12267585268628e-40,coenzyme M biosynthesis I,141.686612808703,2.42840623936893e-16,8.88995292464059,9.883613394231552e-15,0.700878862400961
METH-ACETATE-PWY,2.02530447767512e-35,15.268222668957,6.86915768678146e-34,methanogenesis from acetate,292.284664955052,3.91149853194133e-32,14.1883705745666,2.2742570035716e-30,0.178153823490634
PWY-1861,3.84789234403227e-23,11.2210977385563,1.20468629540087e-21,formaldehyde assimilation II (RuMP Cycle),969.974852348347,4.70893614575095e-24,11.525807042407,2.3956712641508e-22,0.0997986720873928
NAD-BIOSYNTHESIS-II,2.39269426186297e-22,10.9577791802146,6.95590403270163e-21,NAD salvage pathway II,749.324476596319,2.94000859858015e-11,6.98886727686964,8.54702499730086e-10,0.120142142456986
PWY-5198,1.84306367425726e-16,8.93208193946944,5.00084610281805e-15,factor 420 biosynthesis,461.85812407471,0.266278164937947,-1.10214073454101,0.356453583527718,0.324505718787743
PWY-5532,5.27168944578669e-16,8.77194144370881,1.34098600277199e-14,adenosine nucleotides degradation IV,41.246511122456,0.0523701842202106,1.95147990018204,0.10247435085397,0.80047430308944
PWY-7210,1.22332919563987e-13,7.9142987935852,2.9287940154437e-12,pyrimidine deoxyribonucleotides biosynthesis from CTP,308.529043071028,6.95044152494499e-11,6.84548505559369,1.88588646710174e-9,0.146544566672545
PWY-7198,1.4083282649591198e-12,7.51466929896978,3.1843866879909e-11,pyrimidine deoxyribonucleotides de novo biosynthesis IV,242.212246852311,1.80316771897911e-9,6.26141182286921,4.07716256458055e-8,0.15263258480823
PWY-5104,3.18917155201036e-12,7.36045364417136,6.83154116667483e-11,L-isoleucine biosynthesis IV,4262.19176117554,1.81841365333643e-6,4.86747282667283,2.55509111301248e-5,0.075386974819976
RUMP-PWY,6.30708203289097e-12,7.24656332979306,1.28349119369331e-10,formaldehyde oxidation I,669.647300683494,1.08774914584006e-8,5.90868167781389,2.21356951178453e-7,0.114272948306179
P42-PWY,1.1936321117294098e-11,7.1439707290209,2.31337271178033e-10,incomplete reductive TCA cycle,3631.24389874809,0.00645187201068194,2.72263640411626,0.019893272032936,0.0781264945579281
PWY-7391,1.50576372425147e-11,7.09698039809676,2.78566288986521e-10,isoprene biosynthesis II (engineered),62.0478314599687,1.68246928923207e-7,5.36850523210107,3.26078571770214e-6,0.23806195747493
PWY-7377,2.5495207932787797e-11,7.00589371215665,4.51154331680201e-10,"cob(II)yrinate a,c-diamide biosynthesis I (early cobalt insertion)",653.136612487538,1.9898693668114e-5,4.3240110854534,1.6528098618209e-4,0.134264157378453
PWY0-166,3.34518043416585e-10,6.5533334383084,5.67286848627292e-9,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli),4096.46654511915,2.51434773122714e-7,5.28654134097189,4.30909059349139e-6,0.0346198801004493
PWY-5088,4.09583494626214e-10,6.51756625890425,6.668019292514761e-9,L-glutamate degradation VIII (to propanoate),61.8959018143566,1.5211737778048702e-9,6.27829195298723,3.69072172600031e-8,0.0959746842174097
PWY-7219,1.1695209375217102e-9,6.36165285437368,1.83075008296668e-8,adenosine ribonucleotides de novo biosynthesis,6611.58756291632,3.52423274440905e-6,4.7478284595794,4.48238352179526e-5,0.0335200923360142
CODH-PWY,1.4492480243063902e-9,6.28725955735977,2.18460720701001e-8,reductive acetyl coenzyme A pathway,162.889846884966,7.54980113970698e-13,7.60424517329146,2.5606408865506198e-11,0.0375354791519257
