"plate_identifier","Inner.Core.Sample.ID","Sample.Mass.Added.to.Tube..mg.","Date.Weighed","Name.of.Weigher","Notes","Sample.Archived","Sample.Notes","Extraction.Plate.ID","Plate.Well.No.","Plate.Position","Blank.Well.","Sample.Added.to.Extraction.Plate","Name.of.Person.Adding.to.Plate","Date.Plate.Extracted","species","material","core_type","lab_id","Well","Sample.description.1","Sample.description.2","Sample.description.3","Sample.description.4","Target","Conc.copies.µL.","Molecular.Weight.pg.µL.","Status","Status.Reason","Experiment","SampleType","TargetType","Supermix","DyeName.s.","Copies.20µLWell","TotalConfMax","TotalConfMin","PoissonConfMax","PoissonConfMin","Accepted.Droplets","Positives","Negatives","analysis_type"
"1A1","ACRU_RM1
Soil_Mineral
Lab ID: 1e",255.3,"7/28/2022","Qespi ","",NA,NA,"Plate 1",1,"A1","","8/4/2022","Cade","8/4/2022","ACRU","Soil","Mineral","1e","A1","Plate 1","",NA,NA,"mcra_probe","60.33778763",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR Supermix for Probes (No dUTP)","FAM",1206.755737,NA,NA,64.39681244,56.29271317,17042,852,16190,"loose"
"1A1","ACRU_RM1
Soil_Mineral
Lab ID: 1e",255.3,"7/28/2022","Qespi ","",NA,NA,"Plate 1",1,"A1","","8/4/2022","Cade","8/4/2022","ACRU","Soil","Mineral","1e","A1","Plate 1","",NA,NA,"mmox","0.678406834602356",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR EvaGreen Supermix","EvaGreen",13.56813621521,NA,NA,1.2292594909668,0.323475897312164,15612,9,15603,"strict"
"1A1","ACRU_RM1
Soil_Mineral
Lab ID: 1e",255.3,"7/28/2022","Qespi ","",NA,NA,"Plate 1",1,"A1","","8/4/2022","Cade","8/4/2022","ACRU","Soil","Mineral","1e","A1","Plate 1","",NA,NA,"pmoa","513.017944335938",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR EvaGreen Supermix","EvaGreen",10260.359375,NA,NA,527.269409179688,498.937042236328,14484,5119,9365,"loose"
"1A1","ACRU_RM1
Soil_Mineral
Lab ID: 1e",255.3,"7/28/2022","Qespi ","",NA,NA,"Plate 1",1,"A1","","8/4/2022","Cade","8/4/2022","ACRU","Soil","Mineral","1e","A1","Plate 1","",NA,NA,"pmoa","41.2461929321289",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR EvaGreen Supermix","EvaGreen",824.923828125,NA,NA,44.8709678649902,37.6325531005859,14484,499,13985,"strict"
"1A1","ACRU_RM1
Soil_Mineral
Lab ID: 1e",255.3,"7/28/2022","Qespi ","",NA,NA,"Plate 1",1,"A1","","8/4/2022","Cade","8/4/2022","ACRU","Soil","Mineral","1e","A1","Plate 1","",NA,NA,"mmox","3.09369325637817",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR EvaGreen Supermix","EvaGreen",61.8738632202148,NA,NA,4.14385080337524,2.23841691017151,15612,41,15571,"loose"
"1A10","FAGR_AB1
Soil_Mineral
Lab ID: 73e",250.6,"7/29/2022","Qespi","",NA,NA,"Plate 1",73,"A10","","8/4/2022","Cade","8/4/2022","FAGR","Soil","Mineral","73e","A10","Plate 1","",NA,NA,"pmoa","330.409301757813",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR EvaGreen Supermix","EvaGreen",6608.18603515625,NA,NA,341.407135009766,319.513336181641,14388,3523,10865,"loose"
"1A10","FAGR_AB1
Soil_Mineral
Lab ID: 73e",250.6,"7/29/2022","Qespi","",NA,NA,"Plate 1",73,"A10","","8/4/2022","Cade","8/4/2022","FAGR","Soil","Mineral","73e","A10","Plate 1","",NA,NA,"mcra_probe","0.188683093",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR Supermix for Probes (No dUTP)","FAM",3.773661852,NA,NA,0.500139296,0.044778053,18707,3,18704,"loose"
"1A10","FAGR_AB1
Soil_Mineral
Lab ID: 73e",250.6,"7/29/2022","Qespi","",NA,NA,"Plate 1",73,"A10","","8/4/2022","Cade","8/4/2022","FAGR","Soil","Mineral","73e","A10","Plate 1","",NA,NA,"mmox","0.295410066843033",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR EvaGreen Supermix","EvaGreen",5.90820121765137,NA,NA,0.696621835231781,0.0891321748495102,15932,4,15928,"strict"
"1A10","FAGR_AB1
Soil_Mineral
Lab ID: 73e",250.6,"7/29/2022","Qespi","",NA,NA,"Plate 1",73,"A10","","8/4/2022","Cade","8/4/2022","FAGR","Soil","Mineral","73e","A10","Plate 1","",NA,NA,"mmox","3.84612894058228",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR EvaGreen Supermix","EvaGreen",76.9225769042969,NA,NA,4.9927830696106,2.89067149162292,15932,52,15880,"loose"
"1A10","FAGR_AB1
Soil_Mineral
Lab ID: 73e",250.6,"7/29/2022","Qespi","",NA,NA,"Plate 1",73,"A10","","8/4/2022","Cade","8/4/2022","FAGR","Soil","Mineral","73e","A10","Plate 1","",NA,NA,"pmoa","57.4737854003906",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR EvaGreen Supermix","EvaGreen",1149.47570800781,NA,NA,61.7830390930176,53.1802597045898,14388,686,13702,"strict"
